Year,Actor_Name,Film_Title,Winner,Nominated
2009,Gabourey Sidibe,Precious,No,Yes
2009,Meryl Streep,Julie & Julia,No,Yes
2010,Natalie Portman,Black Swan,Yes,Yes
2010,Annette Bening,The Kids Are All Right,No,Yes
2010,Nicole Kidman,Rabbit Hole,No,Yes
2010,Jennifer Lawrence,Winter's Bone,No,Yes
2010,Michelle Williams,Blue Valentine,No,Yes
2011,Meryl Streep,The Iron Lady,Yes,Yes
2011,Glenn Close,Albert Nobbs,No,Yes
2011,Viola Davis,The Help,No,Yes
2011,Rooney Mara,The Girl with the Dragon Tattoo,No,Yes
2011,Michelle Williams,My Week with Marilyn,No,Yes
2012,Jennifer Lawrence,Silver Linings Playbook,Yes,Yes
2012,Jessica Chastain,Zero Dark Thirty,No,Yes
2012,Emmanuelle Riva,Amour,No,Yes
2012,Quvenzhané Wallis,Beasts of the Southern Wild,No,Yes
2012,Naomi Watts,The Impossible,No,Yes
2013,Cate Blanchett,Blue Jasmine,Yes,Yes
2013,Amy Adams,American Hustle,No,Yes
2013,Sandra Bullock,Gravity,No,Yes
2013,Judi Dench,Philomena,No,Yes
2013,Meryl Streep,August: Osage County,No,Yes
2014,Julianne Moore,Still Alice,Yes,Yes
2014,Marion Cotillard,"Two Days, One Night",No,Yes
2014,Felicity Jones,The Theory of Everything,No,Yes
2014,Rosamund Pike,Gone Girl,No,Yes
2014,Reese Witherspoon,Wild,No,Yes
2015,Brie Larson,Room,Yes,Yes
2015,Cate Blanchett,Carol,No,Yes
2015,Jennifer Lawrence,Joy,No,Yes
2015,Charlotte Rampling,45 Years,No,Yes
2015,Saoirse Ronan,Brooklyn,No,Yes
2016,Emma Stone,La La Land,Yes,Yes
2016,Isabelle Huppert,Elle,No,Yes
2016,Ruth Negga,Loving,No,Yes
2016,Natalie Portman,Jackie,No,Yes
2016,Meryl Streep,Florence Foster Jenkins,No,Yes
2017,Frances McDormand,"Three Billboards Outside Ebbing, Missouri",Yes,Yes
2017,Sally Hawkins,The Shape of Water,No,Yes
2017,Margot Robbie,"I, Tonya",No,Yes
2017,Saoirse Ronan,Lady Bird,No,Yes
2017,Meryl Streep,The Post,No,Yes
2018,Olivia Colman,The Favourite,Yes,Yes
2018,Yalitza Aparicio,Roma,No,Yes
2018,Glenn Close,The Wife,No,Yes
2018,Lady Gaga,A Star Is Born,No,Yes
2018,Melissa McCarthy,Can You Ever Forgive Me?,No,Yes
2019,Renée Zellweger,Judy,Yes,Yes
2019,Cynthia Erivo,Harriet,No,Yes
2019,Scarlett Johansson,Marriage Story,No,Yes
2019,Saoirse Ronan,Little Women,No,Yes
2019,Charlize Theron,Bombshell,No,Yes
2021,Frances McDormand,Nomadland,Yes,Yes
2021,Viola Davis,Ma Rainey's Black Bottom,No,Yes
2021,Andra Day,The United States vs. Billie Holiday,No,Yes
2021,Vanessa Kirby,Pieces of a Woman,No,Yes
2021,Carey Mulligan,Promising Young Woman,No,Yes
2021,Jessica Chastain,The Eyes of Tammy Faye,Yes,Yes
2021,Olivia Colman,The Lost Daughter,No,Yes
2021,Penélope Cruz,Parallel Mothers,No,Yes
2021,Nicole Kidman,Being the Ricardos,No,Yes
2021,Kristen Stewart,Spencer,No,Yes
2022,Michelle Yeoh,Everything Everywhere All at Once,Yes,Yes
2022,Cate Blanchett,Tár,No,Yes
2022,Ana de Armas,Blonde,No,Yes
2022,Andrea Riseborough,To Leslie,No,Yes
2022,Michelle Williams,The Fabelmans,No,Yes
2023,Emma Stone,Poor Things,Yes,Yes
2023,Annette Bening,Nyad,No,Yes
2023,Lily Gladstone,Killers of the Flower Moon,No,Yes
2023,Sandra Hüller,Anatomy of a Fall,No,Yes
2023,Carey Mulligan,Maestro,No,Yes
2024,Mikey Madison,Anora,Yes,Yes
2024,Cynthia Erivo,Wicked,No,Yes
2024,Karla Sofía Gascón,Emilia Pérez,No,Yes
2024,Demi Moore,The Substance,No,Yes
2024,Fernanda Torres,I'm Still Here,No,Yes
