Year,Actor_Name,Film_Title,Winner,Nominated
2005,Terrence Howard,Hustle & Flow,No,Yes
2005,Heath Ledger,Brokeback Mountain,No,Yes
2005,Joaquin Phoenix,Walk the Line,No,Yes
2005,David Strathairn,"Good Night, and Good Luck.",No,Yes
2006,Forest Whitaker,The Last King of Scotland,Yes,Yes
2006,Leonardo DiCaprio,Blood Diamond,No,Yes
2006,Ryan Gosling,Half Nelson,No,Yes
2006,Peter O'Toole,Venus,No,Yes
2006,Will Smith,The Pursuit of Happyness,No,Yes
2007,Daniel Day-Lewis,There Will Be Blood,Yes,Yes
2007,George Clooney,Michael Clayton,No,Yes
2007,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,No,Yes
2007,Tommy Lee Jones,In the Valley of Elah,No,Yes
2007,Viggo Mortensen,Eastern Promises,No,Yes
2008,Sean Penn,Milk,Yes,Yes
2008,Richard Jenkins,The Visitor,No,Yes
2008,Frank Langella,Frost/Nixon,No,Yes
2008,Brad Pitt,The Curious Case of Benjamin Button,No,Yes
2008,Mickey Rourke,The Wrestler,No,Yes
2009,Jeff Bridges,Crazy Heart,Yes,Yes
2009,George Clooney,Up in the Air,No,Yes
2009,Colin Firth,A Single Man,No,Yes
2009,Morgan Freeman,Invictus,No,Yes
2009,Jeremy Renner,The Hurt Locker,No,Yes
2010,Colin Firth,The King's Speech,Yes,Yes
2010,Javier Bardem,Biutiful,No,Yes
2010,Jeff Bridges,True Grit,No,Yes
2010,Jesse Eisenberg,The Social Network,No,Yes
2010,James Franco,127 Hours,No,Yes
2011,Jean Dujardin,The Artist,Yes,Yes
2011,Demián Bichir,A Better Life,No,Yes
2011,George Clooney,The Descendants,No,Yes
2011,Gary Oldman,Tinker Tailor Soldier Spy,No,Yes
2011,Brad Pitt,Moneyball,No,Yes
2012,Daniel Day-Lewis,Lincoln,Yes,Yes
2012,Bradley Cooper,Silver Linings Playbook,No,Yes
2012,Hugh Jackman,Les Misérables,No,Yes
2012,Joaquin Phoenix,The Master,No,Yes
2012,Denzel Washington,Flight,No,Yes
2013,Matthew McConaughey,Dallas Buyers Club,Yes,Yes
2013,Christian Bale,American Hustle,No,Yes
2013,Bruce Dern,Nebraska,No,Yes
2013,Leonardo DiCaprio,The Wolf of Wall Street,No,Yes
2013,Chiwetel Ejiofor,12 Years a Slave,No,Yes
2014,Eddie Redmayne,The Theory of Everything,Yes,Yes
2014,Steve Carell,Foxcatcher,No,Yes
2014,Bradley Cooper,American Sniper,No,Yes
2014,Benedict Cumberbatch,The Imitation Game,No,Yes
2014,Michael Keaton,Birdman,No,Yes
2015,Leonardo DiCaprio,The Revenant,Yes,Yes
2015,Bryan Cranston,Trumbo,No,Yes
2015,Matt Damon,The Martian,No,Yes
2015,Michael Fassbender,Steve Jobs,No,Yes
2015,Eddie Redmayne,The Danish Girl,No,Yes
2016,Casey Affleck,Manchester by the Sea,Yes,Yes
2016,Andrew Garfield,Hacksaw Ridge,No,Yes
2016,Ryan Gosling,La La Land,No,Yes
2016,Viggo Mortensen,Captain Fantastic,No,Yes
2016,Denzel Washington,Fences,No,Yes
2017,Gary Oldman,Darkest Hour,Yes,Yes
2017,Timothée Chalamet,Call Me by Your Name,No,Yes
2017,Daniel Day-Lewis,Phantom Thread,No,Yes
2017,Daniel Kaluuya,Get Out,No,Yes
2017,Denzel Washington,"Roman J. Israel, Esq.",No,Yes
2018,Rami Malek,Bohemian Rhapsody,Yes,Yes
2018,Christian Bale,Vice,No,Yes
2018,Bradley Cooper,A Star Is Born,No,Yes
2018,Willem Dafoe,At Eternity's Gate,No,Yes
2018,Viggo Mortensen,Green Book,No,Yes
2019,Joaquin Phoenix,Joker,Yes,Yes
2019,Antonio Banderas,Pain and Glory,No,Yes
2019,Leonardo DiCaprio,Once Upon a Time in Hollywood,No,Yes
2019,Adam Driver,Marriage Story,No,Yes
2019,Jonathan Pryce,The Two Popes,No,Yes
2021,Anthony Hopkins,The Father,Yes,Yes
2021,Riz Ahmed,Sound of Metal,No,Yes
2021,Chadwick Boseman,Ma Rainey's Black Bottom,No,Yes
2021,Gary Oldman,Mank,No,Yes
2021,Steven Yeun,Minari,No,Yes
2021,Will Smith,King Richard,Yes,Yes
2021,Javier Bardem,Being the Ricardos,No,Yes
2021,Benedict Cumberbatch,The Power of the Dog,No,Yes
