Title,Year,Genre,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID
Alvin and the Chipmunks,2007,"['Comedy', 'Family', 'Fantasy']",5.827,4633,60000000,361366633,6477
Atonement,2007,"['Drama', 'Romance']",7.639,4512,30000000,131016624,4347
Evan Almighty,2007,"['Fantasy', 'Comedy', 'Family']",5.585,4451,175000000,174440724,2698
Resident Evil: Extinction,2007,"['Horror', 'Action', 'Science Fiction']",6.304,4403,45000000,147717833,7737
Stardust,2007,"['Adventure', 'Fantasy', 'Romance', 'Family']",7.281,4269,70000000,137500000,2270
Fracture,2007,['Thriller'],7.264,4142,10000000,91354215,6145
Knocked Up,2007,"['Comedy', 'Romance', 'Drama']",6.302,4127,30000000,219900000,4964
Sunshine,2007,"['Science Fiction', 'Thriller']",6.966,4043,50000000,34800000,1272
Gone Baby Gone,2007,"['Crime', 'Drama', 'Mystery']",7.303,3985,19000000,34600000,4771
Saw IV,2007,"['Horror', 'Thriller', 'Crime']",6.166,3980,10000000,139352653,663
The Bucket List,2007,"['Drama', 'Comedy']",7.186,3953,45000000,175400000,7350
Disturbia,2007,"['Thriller', 'Drama', 'Mystery']",6.688,3916,20000000,117760134,8271
3:10 to Yuma,2007,['Western'],7.223,3844,55000000,70000000,5176
High School Musical 2,2007,"['Comedy', 'Drama', 'Family', 'Music', 'Romance', 'TV Movie']",6.507,3814,7000000,0,13649
The Darjeeling Limited,2007,"['Adventure', 'Drama', 'Comedy']",7.152,3769,16000000,24377151,4538
Planet Terror,2007,"['Horror', 'Action', 'Thriller']",6.686,3677,23000000,11446172,1992
Eastern Promises,2007,"['Thriller', 'Crime', 'Mystery']",7.349,3557,51500000,56106607,2252
Rush Hour 3,2007,"['Action', 'Comedy', 'Crime']",6.485,3543,140000000,258097122,5174
Hitman,2007,"['Action', 'Thriller', 'Drama']",6.143,3520,24000000,101276318,1620
P.S. I Love You,2007,"['Drama', 'Romance']",7.183,3403,30000000,156835339,6023
The Number 23,2007,"['Thriller', 'Mystery', 'Crime']",6.417,3375,30000000,77677553,3594
Aliens vs Predator: Requiem,2007,"['Action', 'Science Fiction', 'Thriller', 'Horror']",5.178,3152,40000000,130290885,440
Next,2007,"['Action', 'Science Fiction', 'Thriller']",6.114,3130,70000000,76066841,1738
Meet the Robinsons,2007,"['Animation', 'Comedy', 'Family']",6.928,3031,150000000,169332978,1267
The Orphanage,2007,"['Horror', 'Drama', 'Thriller']",7.23,3016,3400000,78638987,6537
Mr. Bean's Holiday,2007,"['Family', 'Comedy']",6.37,3004,25000000,232225908,1268
Beowulf,2007,"['Adventure', 'Action', 'Animation']",5.9,2950,70000000,195735876,2310
30 Days of Night,2007,"['Horror', 'Thriller']",6.438,2944,30000000,80276156,4513
August Rush,2007,"['Family', 'Drama', 'Music']",7.413,2777,25000000,66122026,5123
The Man from Earth,2007,"['Science Fiction', 'Drama']",7.6,2740,200000,0,13363
The Assassination of Jesse James by the Coward Robert Ford,2007,"['Drama', 'Western']",7.047,2653,30000000,14711793,4512
Surf's Up,2007,"['Animation', 'Comedy', 'Family']",6.474,2642,85000000,149000000,9408
Elite Squad,2007,"['Drama', 'Action', 'Crime']",8.06,2587,4000000,14759148,7347
Hairspray,2007,"['Comedy', 'Romance', 'Drama']",6.665,2561,75000000,90450008,2976
Norbit,2007,['Comedy'],5.679,2509,10000000,159814490,9757
Halloween,2007,['Horror'],6.221,2473,15000000,80460948,2082
I Now Pronounce You Chuck & Larry,2007,"['Comedy', 'Romance']",6.089,2451,85000000,187134117,3563
Wild Hogs,2007,"['Action', 'Adventure', 'Comedy']",5.972,2374,60000000,253625427,11199
Dead Silence,2007,['Horror'],6.45,2372,20000000,22382047,14001
Freedom Writers,2007,"['Crime', 'Drama']",7.92,2354,21000000,43095175,1646
Hannibal Rising,2007,"['Crime', 'Thriller', 'Horror']",6.253,2334,75000000,82169884,1248
Hostel: Part II,2007,['Horror'],5.845,2136,10200000,35728183,1691
The Game Plan,2007,"['Comedy', 'Family']",6.51,2132,22000000,147880543,13680
5 Centimeters per Second,2007,"['Animation', 'Romance', 'Drama']",7.299,2066,5000000,548192,38142
Persepolis,2007,"['Animation', 'Drama']",7.885,2053,7300000,0,2011
Trick 'r Treat,2007,"['Horror', 'Comedy']",6.992,2002,12000000,27909,23202
Shoot 'Em Up,2007,"['Action', 'Thriller', 'Comedy', 'Crime']",6.483,1974,39000000,26800000,4141
